Current date is: 2017-01-16 time is: 19:08:35.583 milliseconds to process 6984;  precision is: 99.0; number of units to check: 100; number of test units: 60000; number of threads8; nearest neighbors3
Current date is: 2017-01-16 time is: 19:09:45.161 milliseconds to process 54312;  precision is: 96.2; number of units to check: 1000; number of test units: 60000; number of threads4; nearest neighbors3
Current date is: 2017-01-16 time is: 19:13:25.994 milliseconds to process 7516;  precision is: 99.0; number of units to check: 100; number of test units: 60000; number of threads4; nearest neighbors3
Current date is: 2017-01-16 time is: 19:14:10.481 milliseconds to process 6907;  precision is: 99.0; number of units to check: 100; number of test units: 60000; number of threads4; nearest neighbors3
Current date is: 2017-01-16 time is: 19:15:35.377 milliseconds to process 12422;  precision is: 98.5; number of units to check: 200; number of test units: 60000; number of threads4; nearest neighbors5
Current date is: 2017-01-16 time is: 19:16:01.205 milliseconds to process 12219;  precision is: 98.5; number of units to check: 200; number of test units: 60000; number of threads4; nearest neighbors3
Current date is: 2017-01-16 time is: 19:16:24.158 milliseconds to process 12156;  precision is: 97.0; number of units to check: 200; number of test units: 60000; number of threads4; nearest neighbors8
Current date is: 2017-01-16 time is: 19:16:45.549 milliseconds to process 12015;  precision is: 98.0; number of units to check: 200; number of test units: 60000; number of threads4; nearest neighbors6
Current date is: 2017-01-16 time is: 19:17:07.518 milliseconds to process 12328;  precision is: 98.5; number of units to check: 200; number of test units: 60000; number of threads4; nearest neighbors5
Current date is: 2017-01-16 time is: 19:23:09.565 milliseconds to process 12328;  precision is: 98.5; number of units to check: 200; number of test units: 60000; number of threads4; nearest neighbors5
Current date is: 2017-01-16 time is: 19:23:51.518 milliseconds to process 12797;  precision is: 98.5; number of units to check: 200; number of test units: 60000; number of threads4; nearest neighbors5
Current date is: 2017-01-16 time is: 19:24:16.346 milliseconds to process 12296;  precision is: 98.5; number of units to check: 200; number of test units: 60000; number of threads4; nearest neighbors5
Current date is: 2017-01-16 time is: 19:25:59.988 milliseconds to process 2187;  precision is: 100.0; number of units to check: 20; number of test units: 60000; number of threads4; nearest neighbors0
Current date is: 2017-01-16 time is: 19:34:59.937 milliseconds to process 1985;  precision is: 100.0; number of units to check: 20; number of test units: 60000; number of threads4; nearest neighbors5
Current date is: 2017-01-16 time is: 19:37:42.850 milliseconds to process 109098;  precision is: 95.65; number of units to check: 2000; number of test units: 60000; number of threads4; nearest neighbors5
Current date is: 2017-01-16 time is: 19:47:32.347 milliseconds to process 112312;  precision is: 95.65; number of units to check: 2000; number of test units: 60000; number of threads4; nearest neighbors5
Current date is: 2017-01-16 time is: 20:26:22.138 milliseconds to process 550395;  precision is: 96.88; number of units to check: 10000; number of test units: 60000; number of threads4; nearest neighbors5
